ITEM #,DESCRIPTION,QTY,MSRP UNIT,MSRP TOTAL,PALLET #,TYPE
1660896,SAGE CERAMIC 2PK TAB,1,189.99,189.99,2287,Mixed
2127647,PB PORTABLE CHARCOAL,1,149.99,149.99,2287,Mixed
1596898,SELKIRK PICKLEBLL KI,1,127.99,127.99,2287,Mixed
1691718,LITE SELF INFLATING,1,99.99,99.99,2287,Mixed
1635441,METAL LAMP 2PK ANTIQ,1,89.99,89.99,2287,Mixed
2349196,KIDIZOOM PRINT CAM W,1,89.99,89.99,2287,Mixed
1891815,PENDLETON SHEETS 6PC,1,69.99,69.99,2287,Mixed
1586356,RUSHING RAPID WATER,1,54.99,54.99,2287,Mixed
1586356,RUSHING RAPID WATER,1,54.99,54.99,2287,Mixed
619899,TB FALL LAWN FOOD 17,1,49.99,49.99,2287,Mixed
619899,TB FALL LAWN FOOD 17,1,49.99,49.99,2287,Mixed
619899,TB FALL LAWN FOOD 17,1,49.99,49.99,2287,Mixed
1640734,BD TRIPLE STEEL FAML,1,49.99,49.99,2287,Mixed
2622054,TIM. RIDGE DIRECTOR,1,43.99,43.99,2287,Mixed
2622054,TIM. RIDGE DIRECTOR,1,43.99,43.99,2287,Mixed
1627201,FAIRLIFE VANILLA SHA,1,42.99,42.99,2287,Mixed
845993,8PK BRITA FILTERS,1,42.99,42.99,2287,Mixed
3272378,KS 120CT ORGANIC FT,1,39.99,39.99,2287,Mixed
3272379,KS 120CT ORGANIC FT,1,39.99,39.99,2287,Mixed
1560984,"POKEMON 8"" PLUSH 3PK",1,39.99,39.99,2287,Mixed
1700514,PLANET BOX LUNCH BOX,1,39.99,39.99,2287,Mixed
1654434,TITAN 50 CAN COOLER,1,39.99,39.99,2287,Mixed
1184115,FLEXTREME 100FT HOSE,1,39.99,39.99,2287,Mixed
1727753,BIOSTEEL VARIETY 24X,1,34.99,34.99,2287,Mixed
2323096,WALL POST LIGHT 4PK,1,34.99,34.99,2287,Mixed
1509963,PET CAR SEAT PROTECT,1,29.99,29.99,2287,Mixed
1552589,SS TOILET BRUSH 2PK,1,26.99,26.99,2287,Mixed
1705079,REVLON SALON WAVE MA,1,26.99,26.99,2287,Mixed
1625149,DURACELL AA 40PK,1,25.99,25.99,2287,Mixed
1649820,INS COTTON BATHMAT 2,1,24.99,24.99,2287,Mixed
1392281,TOSCANA OUTDOOR RUN,1,24.99,24.99,2287,Mixed
1392281,TOSCANA OUTDOOR RUN,1,24.99,24.99,2287,Mixed
1392281,TOSCANA OUTDOOR RUN,1,24.99,24.99,2287,Mixed
6543100,SEALY FROST PILLOW 2,1,24.99,24.99,2287,Mixed
1649820,INS COTTON BATHMAT 2,1,24.99,24.99,2287,Mixed
1649820,INS COTTON BATHMAT 2,1,24.99,24.99,2287,Mixed
34,PERRIER 24/11.150Z 3,1,23.99,23.99,2287,Mixed
4163716,KS DRAWSTRING BAGS P,1,21.99,21.99,2287,Mixed
3456100,VAUGHAN LASER THERMO,1,19.99,19.99,2287,Mixed
244860,SENSODYNE WHTNING 4X,1,19.99,19.99,2287,Mixed
244860,SENSODYNE WHTNING 4X,1,19.99,19.99,2287,Mixed
1550207,SHEDRAIN WINDPRO COM,1,19.99,19.99,2287,Mixed
592654,PRONAMEL FRESH WAVE,1,19.79,19.79,2287,Mixed
1705162,CUCINA HAND LOTION S,1,18.99,18.99,2287,Mixed
1529656,COLUMBIA LUNCH BAG F,1,18.99,18.99,2287,Mixed
2127159,ORBIT 2PC NOZZLE SET,1,17.99,17.99,2287,Mixed
905810,TAMPAX PEARL SUPER 9,1,17.99,17.99,2287,Mixed
1636634,SILVERPAW LIFE JACKE,1,17.99,17.99,2287,Mixed
87507,KS WASTELINER 10GL 5,1,16.99,16.99,2287,Mixed
1474685,ORAL-B MAXCLEAN TB 8,1,16.99,16.99,2287,Mixed
1330346,GRAB A RAG MICROFBR,1,16.99,16.99,2287,Mixed
1330346,GRAB A RAG MICROFBR,1,16.99,16.99,2287,Mixed
1330346,GRAB A RAG MICROFBR,1,16.99,16.99,2287,Mixed
1342627,SCHOOLSAFE SOFT OAT,1,15.99,15.99,2287,Mixed
1748323,SILVERPAW PET COSTUM,1,14.99,14.99,2287,Mixed
6644333,LOLE BELT BAG,1,14.99,14.99,2287,Clothing
8800565,GARDENA GLOVES 10PK,1,14.99,14.99,2287,Mixed
1761800,HASBRO BOARD GAMES A,1,13.99,13.99,2287,Mixed
247221,KELLOGGS RICE KRISPI,1,13.49,13.49,2287,Mixed
269765,DOLE MANDARIN ORANGE,1,12.99,12.99,2287,Mixed
1659777,QUAKER CHEWY FRUITY,1,12.49,12.49,2287,Mixed
1240780,FIBRE 1 CHEWY BARS,1,11.99,11.99,2287,Mixed
1466845,DERMATHERMES HSAN 4X,1,6.99,6.99,2287,Mixed
1723880,HUNTR ORIG SHORT 8 R,1,139.99,139.99,2291,Clothing
1100733,BIRKENSTOCK ARIZONA,1,99.99,99.99,2291,Clothing
5567010,STEVE MADDEN LDS BOO,1,79.99,79.99,2291,Clothing
1018037,TWO VC WOOL COAT M R,1,71.99,71.99,2291,Clothing
1722748,LOLE PCKBL JKT M BLK,1,64.99,64.99,2291,Clothing
1722760,LOLE PCKBL JKT XXXL,1,64.99,64.99,2291,Clothing
1630054,TH LDS SHORT JACKET,1,59.99,59.99,2291,Clothing
1762010,ADIDAS MNS COURT SHO,1,49.99,49.99,2291,Clothing
1629445,SPYDER 1/2 ZIP S,2,49.99,99.98,2291,Clothing
1629448,SPYDER 1/2 ZIP XL,1,49.99,49.99,2291,Clothing
1629446,SPYDER 1/2 ZIP M,1,49.99,49.99,2291,Clothing
1762011,ADIDAS MNS COURT SHO,1,49.99,49.99,2291,Clothing
1556009,SKECHERS MNS DELSON,1,44.99,44.99,2291,Clothing
1681220,IZOD M KNIT SHOE 12,1,44.99,44.99,2291,Clothing
5250009,REEBOK LDS RUNNER 9,1,39.99,39.99,2291,Clothing
1609737,SKECHERS MNS SNEAKER,1,39.99,39.99,2291,Clothing
1275010,SKECHERS LDS SLIP ON,1,39.99,39.99,2291,Clothing
1694756,M HOLMES CANVAS BIB,1,39.99,39.99,2291,Clothing
1694756,M HOLMES CANVAS BIB,1,39.99,39.99,2291,Clothing
1694756,M HOLMES CANVAS BIB,1,39.99,39.99,2291,Clothing
1694756,M HOLMES CANVAS BIB,1,39.99,39.99,2291,Clothing
1694756,M HOLMES CANVAS BIB,1,39.99,39.99,2291,Clothing
1694756,M HOLMES CANVAS BIB,1,39.99,39.99,2291,Clothing
1694756,M HOLMES CANVAS BIB,1,39.99,39.99,2291,Clothing
1694756,M HOLMES CANVAS BIB,1,39.99,39.99,2291,Clothing
1694756,M HOLMES CANVAS BIB,1,39.99,39.99,2291,Clothing
1694756,M HOLMES CANVAS BIB,1,39.99,39.99,2291,Clothing
5015008,TRETORN LDS SNEAKER,1,39.99,39.99,2291,Clothing
1647540,TILLEY L SLIPPER 10,1,35.99,35.99,2291,Clothing
1783415,TILLEY TREK HAT S/M-,1,34.99,34.99,2291,Clothing
7070707,TILLEY LDS SLIPPER 7,1,29.99,29.99,2291,Clothing
1667002,GAP CHINO PANT 34,1,29.99,29.99,2291,Clothing
1718704,REALTREE LS SHIRT XX,1,29.99,29.99,2291,Clothing
1191665,COLUMBIA SKORT,1,29.99,29.99,2291,Clothing
1586326,KEDS LDS CANVAS SHOE,1,29.99,29.99,2291,Clothing
1418682,KS GOLF GLOVE 4PK FY,1,29.99,29.99,2291,Mixed
1608025,EB JOGGER 2PK L BLK,1,28.99,28.99,2291,Clothing
8008103,SPLENDID BRA 2PK XL,1,26.99,26.99,2291,Clothing
8008102,SPLENDID BRA 2PK L,1,26.99,26.99,2291,Clothing
3349790,ADIDAS YOUTH 2PK SHO,1,26.99,26.99,2291,Clothing
375622,BC CLOTHING CV PANT,1,25.99,25.99,2291,Clothing
3822555,BC QUILTED W/HOOD L,1,25.99,25.99,2291,Clothing
375622,BC CLOTHING CV PANT,1,25.99,25.99,2291,Clothing
4076064,CALLAWAY GOLF POLO X,1,25.99,25.99,2291,Clothing
7525103,SPYDER FULL ZIP XL,1,25.99,25.99,2291,Clothing
1671003,HAGGAR PANT 36,1,24.99,24.99,2291,Clothing
1790285,BC TECH PANT 40,1,24.99,24.99,2291,Clothing
1671003,HAGGAR PANT 36,1,24.99,24.99,2291,Clothing
1790282,BC TECH PANT 34,1,24.99,24.99,2291,Clothing
1439412,STANFIELDS BRIEF 6PK,1,24.99,24.99,2291,Clothing
5661012,BUFFALO TWILL PANT 3,1,24.99,24.99,2291,Clothing
5661012,BUFFALO TWILL PANT 3,1,24.99,24.99,2291,Clothing
1487307,COLUMBIA MENS BELT M,1,24.99,24.99,2291,Clothing
3333381,TH FLANNEL PANT 2PK,1,24.99,24.99,2291,Clothing
3333381,TH FLANNEL PANT 2PK,1,24.99,24.99,2291,Clothing
3333384,TH FLANNEL PANT 2PK,1,24.99,24.99,2291,Clothing
7841002,FILA FULL ZIP L,1,24.99,24.99,2291,Clothing
1609319,BC CARGO SHORT 34 BL,1,23.99,23.99,2291,Clothing
1312673,BENCH FLEECE JOGGER,1,23.99,23.99,2291,Clothing
1609319,BC CARGO SHORT 34 BL,1,23.99,23.99,2291,Clothing
1609318,BC CARGO SHORT 34 GR,1,23.99,23.99,2291,Clothing
1609332,BC CARGO SHORT 42 GR,7,23.99,167.93,2291,Clothing
5086000,BRIGGS LINEN DRESS S,1,23.99,23.99,2291,Clothing
1680007,WEATHERPROOF SS SHIR,1,22.99,22.99,2291,Clothing
1695772,EB GIRLS 2PK SHORT,1,22.99,22.99,2291,Clothing
1680505,BC CARGO SHORTS 40,1,22.99,22.99,2291,Clothing
1695772,EB GIRLS 2PK SHORT,1,22.99,22.99,2291,Clothing
1671353,GAP LS OXFORD SHIRT,1,22.99,22.99,2291,Clothing
1695772,EB GIRLS 2PK SHORT,1,22.99,22.99,2291,Clothing
1388882,BENCH 4PK TEE L,1,21.99,21.99,2291,Clothing
1388881,BENCH 4PK TEE M,1,21.99,21.99,2291,Clothing
1388881,BENCH 4PK TEE M,1,21.99,21.99,2291,Clothing
1388881,BENCH 4PK TEE M,1,21.99,21.99,2291,Clothing
1661336,NAUTICA SS SHIRT M,1,21.99,21.99,2291,Clothing
1407681,ADIDAS COTTON BUCKET,1,21.99,21.99,2291,Clothing
1526388,KS CREW T-SHIRT 4PK,1,21.99,21.99,2291,Clothing
3357002,BC CLOTHING SHIRT L,1,21.99,21.99,2291,Clothing
7771392,KS 5 POCKET PANT,1,21.99,21.99,2291,Clothing
3696111,LOLE 2PK ACTIVE TEE,1,21.99,21.99,2291,Clothing
1526386,KS CREW T-SHIRT 4PK,1,21.99,21.99,2291,Clothing
1676400,E BAUER 2PK TSHIRT S,1,21.99,21.99,2291,Clothing
1676400,E BAUER 2PK TSHIRT S,1,21.99,21.99,2291,Clothing
1676400,E BAUER 2PK TSHIRT S,1,21.99,21.99,2291,Clothing
1676400,E BAUER 2PK TSHIRT S,1,21.99,21.99,2291,Clothing
1676400,E BAUER 2PK TSHIRT S,1,21.99,21.99,2291,Clothing
1676400,E BAUER 2PK TSHIRT S,1,21.99,21.99,2291,Clothing
1676400,E BAUER 2PK TSHIRT S,1,21.99,21.99,2291,Clothing
1676400,E BAUER 2PK TSHIRT S,1,21.99,21.99,2291,Clothing
1676400,E BAUER 2PK TSHIRT S,1,21.99,21.99,2291,Clothing
1676400,E BAUER 2PK TSHIRT S,1,21.99,21.99,2291,Clothing
1676402,E BAUER 2PK TSHIRT L,9,21.99,197.91,2291,Clothing
1676400,E BAUER 2PK TSHIRT S,1,21.99,21.99,2291,Clothing
1676401,E BAUER 2PK TSHIRT M,1,21.99,21.99,2291,Clothing
1676401,E BAUER 2PK TSHIRT M,10,21.99,219.9,2291,Clothing
1676400,E BAUER 2PK TSHIRT S,1,21.99,21.99,2291,Clothing
2081003,SANTANA CAPRI 12,1,19.99,19.99,2291,Clothing
4991000,PUMA BOXER 5PK S,1,19.99,19.99,2291,Clothing
1881127,KARBON TEE 2PK L,1,19.99,19.99,2291,Clothing
1589441,HURLEY STRAP SANDAL,1,19.99,19.99,2291,Clothing
1601980,PUMA JOGGER PANT,1,19.99,19.99,2291,Clothing
1081223,UV SKINZ KIDS 3P SWI,1,19.99,19.99,2291,Clothing
1081223,UV SKINZ KIDS 3P SWI,1,19.99,19.99,2291,Clothing
1081223,UV SKINZ KIDS 3P SWI,1,19.99,19.99,2291,Clothing
1564003,MODERN AMBITION PANT,1,19.99,19.99,2291,Clothing
1564002,MODERN AMBITION PANT,1,19.99,19.99,2291,Clothing
